[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.HardwareRevision HardwareRevision HardwareRevision

[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.Manufacturer Manufacturer     Manufacturer    

[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.Model Model            Model           

[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.RevisionCounter RevisionCounter  RevisionCounter 

[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.SerialNumber SerialNumber     SerialNumber    

[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.SoftwareRevision SoftwareRevision SoftwareRevision

[2020-11-15 00:49:24.435 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.AccessVars AccessVars       AccessVars      

[2020-11-15 00:49:24.442 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.442 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.442 (UTC+0100)] */*	N) 2         1005             FunctionalGroupType FunctionalGroupType

[2020-11-15 00:49:24.442 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.Configuration Configuration    Configuration   

[2020-11-15 00:49:24.448 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.448 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.448 (UTC+0100)] */*	N) 2         1005             FunctionalGroupType FunctionalGroupType

[2020-11-15 00:49:24.448 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.ConfigVars ConfigVars       ConfigVars      

[2020-11-15 00:49:24.455 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.455 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.455 (UTC+0100)] */*	N) 2         1005             FunctionalGroupType FunctionalGroupType

[2020-11-15 00:49:24.455 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.Diagnostic Diagnostic       Diagnostic      

[2020-11-15 00:49:24.461 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.461 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.461 (UTC+0100)] */*	N) 2         1005             FunctionalGroupType FunctionalGroupType

[2020-11-15 00:49:24.461 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.GlobalVars GlobalVars       GlobalVars      

[2020-11-15 00:49:24.468 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.468 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.468 (UTC+0100)] */*	N) 2         1005             FunctionalGroupType FunctionalGroupType

[2020-11-15 00:49:24.468 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.Resources Resources        Resources       

[2020-11-15 00:49:24.475 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.475 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.475 (UTC+0100)] */*	N) 2         1004             ConfigurableObjectType ConfigurableObjectType

[2020-11-15 00:49:24.475 (UTC+0100)] */*	oBjS) 1         DefaultConfiguration.Resources.SupportedTypes SupportedTypes   SupportedTypes  

[2020-11-15 00:49:24.481 (UTC+0100)] */*	Browse response
[2020-11-15 00:49:24.481 (UTC+0100)] */*	resp:0
[2020-11-15 00:49:24.481 (UTC+0100)] */*	N) 0         61               FolderType       FolderType      

